"","V1","V2"
"1","Spätbronzezeitlich [Milet IV]","UTF-8"
"2","Mentese / emiratszeitlich","UTF-8"
"3","Später Hellenismus","UTF-8"
"4",NA,NA
"5","Archaisch","ASCII"
"6","Archaisch","ASCII"
"7","Rezent","ASCII"
"8","Klassisch","ASCII"
"9",NA,NA
"10","Kaiserzeitlich","ASCII"
"11","Hellenistisch","ASCII"
"12","Mittelkaiserzeitlich","ASCII"
"13","Später Hellenismus","UTF-8"
"14","Chalkolitisch [Milet I]","ASCII"
"15","Mentese / emiratszeitlich","UTF-8"
"16","Frühbyzantinisch / Spätantik","UTF-8"
"17",NA,NA
"18","Hellenistisch","ASCII"
"19",NA,NA
"20","Mittelkaiserzeitlich","ASCII"
"21","Früher Hellenismus","UTF-8"
"22","Kaiserzeitlich","ASCII"
"23","Frühkaiserzeitlich","UTF-8"
"24","Bronzezeitlich","ASCII"
"25","Mentese / emiratszeitlich","UTF-8"
"26","Hellenistisch","ASCII"
"27","Kaiserzeitlich","ASCII"
"28",NA,NA
"29","Kaiserzeitlich","ASCII"
"30","Spätbronzezeitlich [Milet IV]","UTF-8"
"31",NA,NA
"32","Hellenistisch","ASCII"
"33","Früharchaisch","UTF-8"
"34",NA,NA
"35","Spätkaiserzeitlich","UTF-8"
"36","Spätarchaisch","UTF-8"
"37",NA,NA
"38","Rezent","ASCII"
"39","Kaiserzeitlich","ASCII"
"40","Hellenistisch","ASCII"
"41","Kaiserzeitlich","ASCII"
"42","Spätkaiserzeitlich","UTF-8"
"43","Spätkaiserzeitlich","UTF-8"
"44","Spätkaiserzeitlich","UTF-8"
"45","Byzantinisch","ASCII"
"46","Früher Hellenismus","UTF-8"
"47",NA,NA
"48",NA,NA
"49","Archaisch","ASCII"
"50","Mentese / emiratszeitlich","UTF-8"
"51","Hellenistisch","ASCII"
"52","Spätbyzantinisch","UTF-8"
"53","Spätbyzantinisch","UTF-8"
"54","Kaiserzeitlich","ASCII"
"55","Mittelkaiserzeitlich","ASCII"
"56","Archaisch","ASCII"
"57","Spätbyzantinisch","UTF-8"
"58",NA,NA
"59","Byzantinisch","ASCII"
"60","Kaiserzeitlich","ASCII"
"61","Frühbronzezeitlich [Milet II]","UTF-8"
"62",NA,NA
"63","Spätkaiserzeitlich","UTF-8"
"64","Mentese / emiratszeitlich","UTF-8"
"65",NA,NA
"66","Archaisch","ASCII"
"67",NA,NA
"68","Archaisch","ASCII"
"69","Mittelbronzezeitlich [Milet III]","ASCII"
"70","Kaiserzeitlich","ASCII"
"71","Archaisch","ASCII"
"72","Hellenistisch","ASCII"
"73","Frühbyzantinisch / Spätantik","UTF-8"
"74","Mentese / emiratszeitlich","UTF-8"
"75","Frühbyzantinisch / Spätantik","UTF-8"
"76","Mentese / emiratszeitlich","UTF-8"
"77","Spätarchaisch","UTF-8"
"78","Spätbronzezeitlich [Milet V]","UTF-8"
"79","Mentese / emiratszeitlich","UTF-8"
"80","Klassisch","ASCII"
"81","Hellenistisch","ASCII"
"82",NA,NA
"83","Archaisch","ASCII"
"84","Archaisch","ASCII"
"85","Hellenistisch","ASCII"
"86",NA,NA
"87","Kaiserzeitlich","ASCII"
"88","Mittelkaiserzeitlich","ASCII"
"89","Byzantinisch","ASCII"
"90","Frühkaiserzeitlich","UTF-8"
"91","Mittelkaiserzeitlich","ASCII"
"92","Kaiserzeitlich","ASCII"
"93","Hellenistisch","ASCII"
"94","Archaisch","ASCII"
"95",NA,NA
"96","Spätklassik","UTF-8"
"97","Frühkaiserzeitlich","UTF-8"
"98","Früharchaisch","UTF-8"
"99","Rezent","ASCII"
"100","Spätbyzantinisch","UTF-8"
"101","Hellenistisch","ASCII"
"102","Hellenistisch","ASCII"
"103","Hellenistisch","ASCII"
"104","Mentese / emiratszeitlich","UTF-8"
"105","Hellenistisch","ASCII"
"106","Kaiserzeitlich","ASCII"
"107","Hellenistisch","ASCII"
"108","Archaisch","ASCII"
"109","Spätkaiserzeitlich","UTF-8"
"110","Hellenistisch","ASCII"
"111",NA,NA
"112","Mentese / emiratszeitlich","UTF-8"
"113","Hellenistisch","ASCII"
"114",NA,NA
"115",NA,NA
"116","Archaisch","ASCII"
"117","Hellenistisch","ASCII"
"118","Früher Hellenismus","UTF-8"
"119","Hellenistisch","ASCII"
"120","Hellenistisch","ASCII"
"121",NA,NA
"122","Frühbyzantinisch / Spätantik","UTF-8"
"123","Archaisch","ASCII"
"124","Klassisch","ASCII"
"125","Spätkaiserzeitlich","UTF-8"
"126","Spätbronzezeitlich [Milet VI]","UTF-8"
"127","Frühklassisch","UTF-8"
"128","Mentese / emiratszeitlich","UTF-8"
"129","Hellenistisch","ASCII"
"130","Frühkaiserzeitlich","UTF-8"
"131","Hellenistisch","ASCII"
"132",NA,NA
"133","Kaiserzeitlich","ASCII"
"134","Später Hellenismus","UTF-8"
"135","Frühbyzantinisch / Spätantik","UTF-8"
"136","Mentese / emiratszeitlich","UTF-8"
"137","Kaiserzeitlich","ASCII"
"138","Byzantinisch","ASCII"
"139",NA,NA
"140","Mentese / emiratszeitlich","UTF-8"
"141","Rezent","ASCII"
"142","Hellenistisch","ASCII"
