,period,from,to,color
1,Neolitisch,-7000,-5001,#AFBE1B
2,Chalkolitisch [Milet I],-5000,-3001,#FFF040
3,Bronzezeitlich,-4250,-1001,#FFCC80
4,Frühbronzezeitlich [Milet II],-4250,-2001,#FFB74D
5,Mittelbronzezeitlich [Milet III],-2000,-1701,#FFA726
6,Spätbronzezeitlich [Milet IV],-1700,-1401,#FF9800
7,Spätbronzezeitlich [Milet V],-1400,-1311,#FB8C00
8,Spätbronzezeitlich [Milet VI],-1310,-1191,#F57C00
9,Spätbronzezeitlich [Milet VII],-1190,-1051,#EF6C00
10,Geometrisch,-1050,-901,#FF6659
11,Protogeometrisch,-900,-671,#FF574A
12,Frühgeometrisch,-900,-851,#F9483B
13,Mittelgeometrisch,-850,-751,#EA392C
14,Spätgeometrisch,-750,-671,#DB2A1D
15,Archaisch,-670,-480,#BA45CE
16,Früharchaisch,-670,-581,#A631BA
17,Hocharchaisch,-580,-551,#921DA6
18,Spätarchaisch,-550,-480,#830E97
19,Perserzerstörung,-494,-494,#79048D
20,Klassisch,-480,-324,#8A5DDA
21,Frühklassisch,-480,-426,#7144C1
22,Spätklassik,-425,-324,#582BA8
23,Hellenistisch,-323,-32,#586ACE
24,Früher Hellenismus,-323,-178,#4456BA
25,Später Hellenismus,-177,-32,#213397
26,Kaiserzeitlich,-31,305,#3FB4FF
27,Frühkaiserzeitlich,-31,98,#269BF8
28,Mittelkaiserzeitlich,100,192,#0D82DF
29,Spätkaiserzeitlich,193,305,#0073D0
30,Spätantik,306,699,#81C784
31,Byzantinisch,306,1299,#66BB6A
32,Frühbyzantinisch / Spätantik,306,699,#43A047
33,Mittelbyzantinisch,700,999,#2E7D32
34,Spätbyzantinisch,1000,1299,#1B5E20
35,Menteşe / emiratszeitlich,1300,1425,#006064
36,Osmanisch,1426,1899,#007365
37,Rezent,1900,1999,#3D5A68
38,NA,NA,NA,#000000
